City,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,AQI,AQI Category,PM2.5/PM10 Ratio
Jabalpur,26-01-2013,262.829701,358.1722267,36.21791792,98.37590382,4.350160778,12.25258735,11.02288232,62.42560763,405.7033751,Hazardous,0.733808155
Patna,27-01-2013,196.5647902,333.8549914,138.0311165,68.24483306,3.860811119,78.01948293,17.13915044,99.345723,358.9915832,Hazardous,0.588772956
Delhi,28-01-2013,70.38149767,20.89927861,11.78341591,20.55844633,0.126180896,95.48107262,40.21815195,99.59440736,133.026492,Unhealthy for Sensitive Groups,1.5
Madurai,29-01-2013,219.7838667,146.9921661,53.75873329,18.92784576,4.737398946,37.53310442,28.73360038,66.14542542,376.8108745,Hazardous,1.495208028
Lucknow,30-01-2013,265.3564492,23.03850214,34.9120135,63.20383367,3.39488719,46.1256713,16.93435941,32.68595641,406.7079858,Hazardous,1.5
Gwalior,31-01-2013,37.8146081,299.0533903,135.0444084,73.1546466,2.197114156,65.3187271,38.94856749,33.23502571,249.0533903,Very Unhealthy,0.126447682
Amritsar,01-02-2013,98.73250396,333.6141627,31.3531551,69.40081244,3.479687445,94.63884702,28.57668804,35.50044303,283.6141627,Very Unhealthy,0.295948179
Chennai,02-02-2013,62.66552547,216.0219961,29.5496828,51.17943253,7.163841554,99.90614603,39.90489122,30.09921864,177.4240108,Unhealthy,0.290088633
Allahabad,03-02-2013,132.5445784,188.5868902,128.1698371,52.43030556,5.898630964,69.87345554,35.85093715,61.55883883,309.8597927,Hazardous,0.702830288
Aurangabad,04-02-2013,26.96820675,259.8455924,90.29377485,17.08471072,9.973288437,81.35326454,11.58852666,79.11211785,209.8455924,Very Unhealthy,0.103785508
Agra,05-02-2013,161.6365766,185.608577,119.0958691,66.77297577,8.398391911,69.7018324,42.04748211,77.24554148,332.1862099,Hazardous,0.870846483
Ahmedabad,06-02-2013,266.7334625,101.0437504,65.8302958,53.29232382,0.505482318,89.40312575,12.52593459,55.17590503,407.255473,Hazardous,1.5
Vijayawada,07-02-2013,198.832818,69.50938236,142.0047237,13.12013814,8.972760984,98.60072933,42.38358799,70.27499144,360.7321627,Hazardous,1.5
Bangalore,08-02-2013,259.7023289,75.13343516,145.0160461,84.24140403,4.555318,37.47340265,18.10602777,74.13388254,404.4599621,Hazardous,1.5
Kanpur,09-02-2013,262.0302238,331.3417649,61.36591123,84.684734,4.215836263,34.02014622,10.49855344,72.58676562,405.3855106,Hazardous,0.790815561
Chandigarh,10-02-2013,73.00321372,52.16569926,65.36134823,93.3952066,7.994802469,89.63336323,26.11948073,20.67674101,174.8715752,Unhealthy,1.399448579
Ranchi,11-02-2013,125.2319621,113.6807962,72.80319088,79.37798627,3.796002813,66.82812604,37.8702144,50.92495584,304.2477849,Hazardous,1.10161053
Gwalior,12-02-2013,190.3368449,293.4159397,71.07108872,94.21980315,5.763991957,47.22264347,23.80831954,68.36679848,354.2119972,Hazardous,0.648692927
Patna,13-02-2013,143.0854798,44.94567591,86.28647892,8.246027152,8.445587363,94.78442531,19.57719482,35.83191993,317.9493217,Hazardous,1.5
Srinagar,14-02-2013,279.5812721,302.9332275,24.4338823,16.40483616,6.56083848,73.64623028,24.71652367,88.77706623,412.3636383,Hazardous,0.922913853
Jodhpur,15-02-2013,185.9392039,214.0536541,107.0206926,83.40021566,8.757148073,72.55067918,25.08094486,37.23802782,350.8370635,Hazardous,0.868656995
Jabalpur,16-02-2013,84.38029225,336.1405037,62.45472832,40.2725263,6.659309741,50.92483921,34.73980056,45.21806282,500,Hazardous,0.251026851
Coimbatore,17-02-2013,131.65726,285.4768213,95.29105187,29.45762664,8.346233518,73.66865641,30.9317946,64.75271628,309.1788274,Hazardous,0.461183712
Amritsar,18-02-2013,250.8887914,32.3241315,102.6835267,21.61525747,8.99012322,19.33660886,39.51995148,25.48430855,500,Hazardous,1.5
Bangalore,19-02-2013,220.6534616,325.3206833,83.30369222,61.34255939,8.8471035,91.03870551,11.00149953,60.99931933,377.478238,Hazardous,0.678264472
Kolkata,20-02-2013,41.19883218,242.8052092,66.23869468,46.97402851,4.777737335,53.44687705,13.56918518,68.62826438,195.2195685,Unhealthy,0.169678535
Vijayawada,21-02-2013,76.94869756,188.164629,79.50193149,81.74431337,0.441512286,25.07449832,17.6552844,27.36593133,158.9147535,Unhealthy,0.408943477
Hyderabad,22-02-2013,114.4465554,51.13207898,21.7941725,30.18207465,5.035603531,37.84027826,11.57786067,59.53971353,281.0416891,Very Unhealthy,1.5
Ranchi,23-02-2013,203.2637942,152.8607936,101.3280093,23.18956036,0.937432269,14.63960608,15.90457087,99.71623909,364.1326793,Hazardous,1.329731382
Chandigarh,24-02-2013,101.0000038,81.07057378,12.86049898,87.76328258,1.024244143,30.74381749,31.46315152,61.12569447,500,Hazardous,1.245828161
Srinagar,25-02-2013,112.4954065,223.4476699,61.19550668,58.84630547,6.125552411,79.59588105,16.80134052,80.43665746,274.3808705,Very Unhealthy,0.50345303
Dhanbad,26-02-2013,111.3225489,375.0237024,146.499462,93.56382583,8.789288629,15.2737637,17.17302819,54.28808571,331.1056523,Hazardous,0.296841368
Bhopal,27-02-2013,294.5675619,202.0742359,89.30870194,17.26496562,1.997206508,47.65212069,33.89093234,48.98131904,418.3220427,Hazardous,1.457719539
Ranchi,28-02-2013,56.06888166,85.78171781,130.2749217,26.17429327,2.329236579,89.49160717,11.6625721,93.42725956,150.2749217,Unhealthy,0.653622743
Mumbai,01-03-2013,293.8927915,66.98840567,36.43330146,18.31270513,4.934527718,30.89821914,32.92193354,96.11095349,418.0537605,Hazardous,1.5
Guwahati,02-03-2013,10.75495152,271.2140717,54.87865145,91.85027477,8.015197746,41.37754562,21.20406424,40.41574766,221.2140717,Very Unhealthy,0.039654843
Bhopal,03-03-2013,11.05388433,272.1051849,39.52833325,77.33549745,8.302546469,31.80172855,40.55237253,44.22778382,222.1051849,Very Unhealthy,0.040623571
Guwahati,04-03-2013,35.72942306,58.48029812,43.3303166,14.96107407,4.079950231,70.14928365,29.85758173,62.56290484,125.8120345,Unhealthy for Sensitive Groups,0.610965132
Surat,05-03-2013,167.5122245,44.09566271,75.89828563,37.16071242,2.875815141,13.48327579,37.46190535,68.38661995,336.6954281,Hazardous,1.5
Gwalior,06-03-2013,266.5608107,215.0322107,132.7103491,87.04075527,9.761612589,60.08277319,22.0903157,62.19022095,407.1868284,Hazardous,1.239632006
Nagpur,07-03-2013,63.00681015,198.6512134,88.29118427,75.25741729,8.451205844,32.00793367,23.13630069,90.19934684,180.5910606,Unhealthy,0.317173045
Nashik,08-03-2013,200.1850116,138.5471508,93.93475192,58.87532663,8.735381,12.37396531,29.09966677,83.60189623,361.7698926,Hazardous,1.444887249
Chennai,09-03-2013,99.38890809,268.6925365,124.9506037,77.17246773,7.441921565,11.69483348,40.35707071,63.77632266,229.6379966,Very Unhealthy,0.369898284
Jaipur,10-03-2013,294.7761897,211.1586233,40.23394003,99.73101382,8.88471248,16.93838312,29.15314948,58.0705058,500,Hazardous,1.395994088
Srinagar,11-03-2013,178.3754632,27.36639672,51.28436799,96.06891583,8.948283324,68.08724874,35.23853466,50.97520658,345.0323322,Hazardous,1.5
Kolkata,12-03-2013,136.8230285,66.04625093,22.01235578,9.309840307,7.718138464,42.29744525,23.52877246,26.88545556,313.1432544,Hazardous,1.5
Nashik,13-03-2013,86.56665154,247.3790977,133.8767606,26.02628097,7.613168097,46.45578827,10.17502456,87.75526654,198.2585951,Unhealthy,0.34993519
Jaipur,14-03-2013,148.9426497,55.87032427,74.089626,72.50635767,9.487429311,78.7770047,32.52363895,76.59514431,322.4443591,Hazardous,1.5
Hyderabad,15-03-2013,68.24121912,357.6080657,32.40989312,82.35578053,9.674103982,74.39579896,11.73795059,98.69091504,309.2809937,Hazardous,0.190826846
Gwalior,16-03-2013,153.1738629,344.3239107,58.33990945,26.20434618,3.409805784,20.40586728,24.05922654,57.92608715,325.6915692,Hazardous,0.444853982
Nashik,17-03-2013,244.5403879,90.99323615,70.68474029,22.29208864,4.991742877,50.03624694,36.00595072,42.68667482,500,Hazardous,1.5
Surat,18-03-2013,86.51823892,262.8386479,146.7795692,27.0427806,4.874522862,42.15404908,25.80109174,91.46708389,212.8386479,Very Unhealthy,0.329168635
Allahabad,19-03-2013,40.23658432,76.98141338,101.8864056,50.20599725,8.026352641,54.95622451,25.43831897,82.64240517,175.2669508,Unhealthy,0.52267921
Jodhpur,20-03-2013,283.5281774,60.11698985,16.48091068,60.24707333,0.67102937,58.91950428,29.83136098,62.59830199,413.9328898,Hazardous,1.5
Nashik,21-03-2013,16.43957007,26.62784926,53.50520333,27.62620394,2.680905452,86.59991945,12.3263782,26.85383743,108.2797012,Unhealthy for Sensitive Groups,0.617382572
Kanpur,22-03-2013,279.0237562,301.5231048,63.63741538,59.83949046,3.247025319,42.87908335,22.94222896,91.06380692,412.1419753,Hazardous,0.925381013
Coimbatore,23-03-2013,214.3910225,124.4906878,28.54089131,68.09703209,3.335129815,12.02026322,36.44362437,54.4102468,372.67218,Hazardous,1.5
Visakhapatnam,24-03-2013,227.4082902,352.8121649,69.73314646,16.35524851,6.653798691,63.98155967,17.35142066,21.23204956,382.6621762,Hazardous,0.644559096
Solapur,25-03-2013,202.12493,197.9466868,109.2715641,49.63770515,9.386482766,43.69754444,30.38756901,29.73059732,363.2586672,Hazardous,1.021107922
Nagpur,26-03-2013,156.1082888,59.0740616,130.7289512,16.10748626,5.638562621,27.12481975,34.43425002,96.92022837,327.9435705,Hazardous,1.5
Kanpur,27-03-2013,30.83778329,96.0025142,11.8544867,5.388704465,7.024871993,48.06520821,20.28377696,61.02536695,500,Hazardous,0.321218497
Raipur,28-03-2013,56.42121332,385.7363768,40.5300956,13.34049943,1.409096061,40.40920022,26.71389494,98.52477599,500,Hazardous,0.146268842
Patna,29-03-2013,176.5074445,94.58486337,102.3093037,68.70959642,0.191196169,95.29573586,40.90157868,99.44775394,343.5987365,Hazardous,1.5
Bhopal,30-03-2013,14.12580156,209.1227077,119.4157817,65.86707647,0.218853331,43.67714425,29.59712482,32.05120043,172.8399199,Unhealthy,0.067547909
Jabalpur,31-03-2013,150.9860045,37.36525615,108.9571565,75.40840497,5.53043173,47.08534047,38.24979275,95.40100008,324.0125151,Hazardous,1.5
Guwahati,01-04-2013,23.48916417,327.5977414,113.8212259,29.96872501,9.527481563,74.42189179,14.39357676,84.38355251,277.5977414,Very Unhealthy,0.07170124
Jaipur,02-04-2013,178.8906241,26.40284919,49.57150491,56.8467619,0.12303063,97.21579294,26.90197439,35.35219845,345.4276882,Hazardous,1.5
Kota,03-04-2013,209.3218236,180.6046511,83.122115,56.55230179,0.229616911,48.07714016,23.01843782,57.14761792,368.7818647,Hazardous,1.15900572
Howrah,04-04-2013,43.28006457,116.8563361,62.67853273,21.77989735,7.864582563,91.72259961,40.99223776,24.62064895,173.2397055,Unhealthy,0.370369858
Patna,05-04-2013,27.90238813,282.5504989,106.6654439,47.13874622,9.827262692,54.04743793,11.96907579,88.54469911,232.5504989,Very Unhealthy,0.098751863
Guwahati,06-04-2013,241.7679727,44.62566807,135.502972,41.09512599,2.812366778,87.89279264,27.34519574,84.95662114,393.6823976,Hazardous,1.5
Pune,07-04-2013,202.8962722,256.5809815,62.10850057,7.846096573,3.504949174,35.36343385,19.99808563,27.19535981,363.8506275,Hazardous,0.790768945
Jaipur,08-04-2013,27.26240749,40.37756059,124.3258876,18.43009781,5.919723816,43.93772708,33.87841106,74.89603442,148.867425,Unhealthy for Sensitive Groups,0.675187086
Gwalior,09-04-2013,205.3327447,35.29276861,43.55943864,10.206208,0.7902373,36.22275437,18.71863436,62.82713908,365.7204785,Hazardous,1.5
Varanasi,10-04-2013,50.35694249,203.1373208,61.45645033,7.269202543,0.207223625,51.53699179,32.1208816,82.50590962,168.8630521,Unhealthy,0.247896065
Hyderabad,11-04-2013,296.4732129,100.1534784,83.70468174,15.77477491,5.370377446,86.64515875,16.03422235,31.68180237,500,Hazardous,1.5
Hyderabad,12-04-2013,212.2758211,183.7425287,121.0745211,52.07173204,2.994783404,49.07031787,17.95638471,38.32018474,371.0488859,Hazardous,1.155289538
Chandigarh,13-04-2013,156.4146091,339.7728573,92.27092566,36.25390839,5.660394042,50.49067622,19.52907955,45.57546603,500,Hazardous,0.460350513
Nagpur,14-04-2013,59.96127322,85.78772131,44.44758632,19.53031942,9.596503492,61.40206935,42.09516217,64.42601005,194.9435248,Unhealthy,0.698949364
Lucknow,15-04-2013,299.8738973,135.0344057,69.64583572,41.7485544,0.392227293,58.76455096,44.50314874,86.02496009,420.4317905,Hazardous,1.5
Dhanbad,16-04-2013,81.06969074,37.54104348,35.29307152,26.18365294,2.513113799,88.74800755,27.11712284,60.33253337,169.5137718,Unhealthy,1.5
Chennai,17-04-2013,79.682898,186.772419,82.12807597,77.4045961,8.706037444,73.497005,39.41727773,96.90686736,183.7845199,Unhealthy,0.426630968
Nagpur,18-04-2013,214.4854615,138.9057347,141.3910719,45.96774246,4.347938803,69.75895954,35.75288386,91.99376058,372.7446565,Hazardous,1.5
Raipur,19-04-2013,93.79977662,358.4433015,13.26545169,44.47244044,0.705184952,12.88532822,19.98015757,67.32061423,310.3276817,Hazardous,0.26168651
Lucknow,20-04-2013,136.2517224,173.6834334,120.0629256,69.54543414,8.25959757,25.94946668,13.40371871,82.74911385,312.7048102,Hazardous,0.784483124
Aurangabad,21-04-2013,110.0398651,273.3163944,11.56944886,38.54801815,6.572323543,11.69166061,16.05578531,86.39216808,265.99816,Very Unhealthy,0.402609823
Howrah,22-04-2013,139.6074274,356.93912,18.32820519,30.76003949,8.246433978,52.0179597,31.22421302,61.37848095,315.2801187,Hazardous,0.391123919
Mumbai,23-04-2013,56.82487894,104.6914308,93.6813746,99.63229985,8.173640688,90.55041808,38.1220575,34.50095136,177.1127124,Unhealthy,0.542784433
Ludhiana,24-04-2013,155.5281151,317.5710702,76.25698257,29.24275058,6.603910806,97.96975916,40.13324319,48.05234538,327.4983209,Hazardous,0.489742705
Ranchi,25-04-2013,271.3199525,34.87269813,143.3187012,81.38368635,7.296104612,69.84504002,34.10076387,50.73578928,409.0790173,Hazardous,1.5
Madurai,26-04-2013,248.4306918,376.0905215,45.34840705,40.63314077,0.618264098,29.36077345,37.62244808,82.439942,500,Hazardous,0.660560896
Jabalpur,27-04-2013,73.98725559,326.7423498,93.30714735,62.9204312,4.539350124,70.68805749,33.66793003,73.48160736,276.7423498,Very Unhealthy,0.226439137
Surat,28-04-2013,32.39448694,28.89179201,144.7279579,65.20356678,5.028800929,53.24442949,44.44452835,93.49133045,164.7279579,Unhealthy,1.121234949
Nashik,29-04-2013,162.7129155,160.623377,109.2178927,97.30681462,6.741220549,52.80280822,16.3892435,69.29136228,333.0122375,Hazardous,1.013008931
Varanasi,30-04-2013,88.00076076,366.9217333,82.14489152,73.02807903,2.681424623,37.39719093,26.41087514,44.29036014,320.9525519,Hazardous,0.239835237
Nashik,01-05-2013,102.3757893,334.713602,76.36251814,93.98899867,6.808597243,57.98503706,42.08761338,79.19218598,284.713602,Very Unhealthy,0.305860857
Allahabad,02-05-2013,185.3092288,236.5868209,57.47493439,50.31442381,0.35804274,48.40384716,32.12863403,20.62545517,350.3535942,Hazardous,0.783260995
Vijayawada,03-05-2013,58.46532916,364.2618438,47.11085296,49.0881973,1.625483368,12.55203271,15.12268834,87.39785854,317.6192726,Hazardous,0.160503578
Madurai,04-05-2013,257.8304988,173.5707283,112.5546357,67.02996713,2.13239695,35.11146301,37.58571779,71.58187094,403.7157405,Hazardous,1.485449196
Kanpur,05-05-2013,283.2546991,206.0735791,122.9885594,67.08903257,0.2121436,92.39460671,13.25771974,34.88445995,413.8241575,Hazardous,1.374531856
Lucknow,06-05-2013,250.7922466,374.4615535,128.2862279,64.11723111,1.145304755,29.98950906,27.05661242,73.73785476,500,Hazardous,0.669740977
Patna,07-05-2013,282.4377717,92.57829154,17.34997365,12.4539159,5.400242994,29.99753566,31.0051034,79.53639062,413.499355,Hazardous,1.5
Chandigarh,08-05-2013,97.95348652,264.0743836,124.5352168,76.94081293,7.440603408,14.05027891,32.81444521,44.23352371,224.7377643,Very Unhealthy,0.370931422
Bangalore,09-05-2013,25.14137106,394.9846754,77.70626241,37.76493508,9.555233097,34.08515088,14.86399052,30.75847032,356.1200362,Hazardous,0.06365151
Jodhpur,10-05-2013,121.5992187,200.6831814,97.19982703,91.78312456,4.61493606,33.72204141,21.09050108,81.84215163,301.4598655,Hazardous,0.605926306
Chandigarh,11-05-2013,207.9666176,157.3857905,75.35120868,96.79684225,0.372871171,83.19086011,29.56013762,29.66341264,367.7418228,Hazardous,1.321381154
Hyderabad,12-05-2013,199.6406428,174.5784873,114.5365157,56.9797378,1.11080609,24.87149299,41.19844442,32.36143819,361.3521212,Hazardous,1.143558097
Chennai,13-05-2013,263.3937104,221.4082783,69.02131281,35.60336509,9.775725119,10.27480079,28.19889103,45.81694801,405.9276198,Hazardous,1.189629008
Bangalore,14-05-2013,114.7338668,23.22457132,86.50856588,70.6602512,3.531857933,67.49690778,20.78193306,88.96722595,282.0225108,Very Unhealthy,1.5
Patna,15-05-2013,46.89978542,387.1108552,75.226817,34.13144959,3.562609483,22.30951686,13.22342897,93.22511765,346.2528438,Hazardous,0.121153372
Aurangabad,16-05-2013,112.8723452,259.436083,90.96335571,56.9685899,6.924804875,62.50704146,30.9046708,34.07773857,275.6676611,Very Unhealthy,0.435068029
Allahabad,17-05-2013,41.76026894,255.1722482,91.14881301,77.85914429,4.160938654,75.40189322,29.86295515,54.02531304,205.1722482,Very Unhealthy,0.163655214
Aurangabad,18-05-2013,167.2675387,243.2441579,111.3307733,54.40049344,7.343326445,95.41263521,21.92283504,55.56948089,336.507646,Hazardous,0.687652851
Agra,19-05-2013,250.402587,28.81199775,107.9827701,76.52396572,7.539976614,95.86116012,30.93280419,59.77481042,500,Hazardous,1.5
Guwahati,20-05-2013,75.53994234,260.8020943,118.4722221,69.32037505,2.775556246,94.83865679,10.75276467,76.2660046,210.8020943,Very Unhealthy,0.289644692
Gwalior,21-05-2013,296.2614895,200.2755443,116.0685633,61.33473259,5.502218079,13.56319553,16.88649719,32.56270746,418.995532,Hazardous,1.479269427
Howrah,22-05-2013,266.2418106,52.42980243,76.05306295,86.07182212,5.745265744,68.55488351,10.62320767,85.50062437,407.059997,Hazardous,1.5
Raipur,23-05-2013,272.3189395,161.527382,55.10785183,50.17618299,8.675505053,63.98003224,32.56256732,55.42020428,409.4762049,Hazardous,1.5
Kota,24-05-2013,113.7692179,83.75370921,109.3818791,55.01460936,6.149197435,93.61814118,30.75010092,49.5861039,278.7293991,Very Unhealthy,1.358378261
Chennai,25-05-2013,279.7539966,291.642287,46.2489411,50.86889126,5.459735239,11.92133833,27.88781162,27.444455,412.4323119,Hazardous,0.95923674
Vijayawada,26-05-2013,209.1285089,158.7055249,45.63643916,55.10296686,1.014977065,26.11580913,33.06938315,61.68787471,500,Hazardous,1.317714107
Delhi,27-05-2013,234.1773162,213.2669279,43.61389722,38.6734066,7.065507641,75.7697925,35.57808082,93.98708139,387.8570101,Hazardous,1.098047965
Vadodara,28-05-2013,192.5626739,125.880212,131.7189262,72.43634935,8.820776268,68.83658008,18.56279717,87.43026666,355.9201916,Hazardous,1.5
Navi Mumbai,29-05-2013,110.1875272,218.0832039,36.42715953,86.11318449,8.259637117,64.39113173,19.27686168,84.00490736,266.502248,Very Unhealthy,0.505254532
Delhi,30-05-2013,131.7338098,187.5038404,84.42672852,26.81563433,6.467304286,62.03282942,37.96420977,45.91314766,309.237575,Hazardous,0.702565929
Bhopal,31-05-2013,181.915669,378.5636983,131.1711387,11.67155818,9.09773253,52.66911629,16.70156833,71.45214468,347.7492343,Hazardous,0.480541768
Lucknow,01-06-2013,241.0524745,262.353388,124.5960908,49.07332497,7.107704881,75.9101298,16.21284945,73.54038007,393.1332944,Hazardous,0.918808316
Allahabad,02-06-2013,115.7952672,25.92915949,96.89719751,12.96590781,5.567827178,33.63785947,17.6549188,82.50083166,285.6459122,Very Unhealthy,1.5
Madurai,03-06-2013,295.1663486,252.7192412,146.0696383,88.60797122,7.283450661,27.02875132,21.7413907,25.18095547,418.5601145,Hazardous,1.167961518
Jabalpur,04-06-2013,13.32807121,286.5458266,145.398585,42.22799388,2.452114155,80.96786837,38.60509224,22.56487494,236.5458266,Very Unhealthy,0.046512878
Navi Mumbai,05-06-2013,224.4651365,322.9690217,129.3470534,6.807112918,3.432102078,47.86320222,42.50939393,96.77864513,380.4034769,Hazardous,0.69500516
Kolkata,06-06-2013,129.518241,156.075039,126.4751978,10.81819483,6.064450135,72.62014893,15.47789954,70.44696798,307.5372547,Hazardous,0.829845963
Raipur,07-06-2013,106.9930819,25.5323629,28.85222996,74.58656188,0.167438219,26.47311394,42.18247644,23.07849888,255.5970726,Very Unhealthy,1.5
Surat,08-06-2013,196.9042632,183.5962686,46.68654951,7.743608623,3.826969437,62.08169178,42.98661093,60.4807718,359.252109,Hazardous,1.072485104
Chandigarh,09-06-2013,152.2327375,337.0868404,24.70682877,75.76500609,5.164477571,61.89153474,28.76391261,31.18743376,324.9693102,Hazardous,0.451612817
Dhanbad,10-06-2013,265.8877869,396.0563897,70.42202106,80.24405069,5.593511896,81.45647275,10.17565848,73.50858127,500,Hazardous,0.671338208
Gwalior,11-06-2013,100.7274005,240.6425651,38.47709695,66.97217461,9.297016955,65.083249,18.19796582,40.0362845,234.2073327,Very Unhealthy,0.418576823
Jaipur,12-06-2013,114.2328762,28.09090457,114.7235122,57.80823638,1.046966208,53.61105054,12.05936496,85.27099661,500,Hazardous,1.5
Kota,13-06-2013,242.1019637,59.23641415,83.31936174,22.42507476,1.90612478,13.76072123,14.51579144,94.04400772,393.9387163,Hazardous,1.5
Raipur,14-06-2013,77.30952111,336.3903457,106.7866901,87.03814864,2.739636463,22.12190647,44.36016529,53.16140167,286.3903457,Very Unhealthy,0.229820868
Navi Mumbai,15-06-2013,66.07611933,55.71655547,77.89715707,41.85262571,1.072596608,82.60388359,38.57756439,26.20437089,500,Hazardous,1.185933315
Jabalpur,16-06-2013,137.4935084,365.2604066,139.2706454,36.17249493,6.873438654,55.20125494,42.83592583,71.72791761,318.8706361,Hazardous,0.376425985
Aurangabad,17-06-2013,24.63037428,176.947676,13.68959594,27.80394799,4.661924292,62.14197992,29.55569111,35.30959192,151.4618787,Unhealthy,0.139195805
Nagpur,18-06-2013,242.0032765,304.424863,97.58557606,33.64201069,6.26343308,61.92063403,29.57061349,21.64424215,393.8629796,Hazardous,0.794952403
Kolkata,19-06-2013,45.69157783,216.7748734,64.77849818,19.55973296,0.631327124,44.24960633,27.24963219,23.02114663,177.9242447,Unhealthy,0.210778939
Visakhapatnam,20-06-2013,191.2622836,310.8944267,15.71902161,36.95450289,4.590249548,99.89580825,30.77912122,89.82125228,354.9222177,Hazardous,0.615200104
Jodhpur,21-06-2013,147.7291917,23.99877048,100.2732014,52.98282076,4.414825805,95.16493955,26.18184595,28.90845933,321.5131006,Hazardous,1.5
Surat,22-06-2013,36.43163418,353.5618179,118.2948116,64.96794696,4.295792736,96.25155545,35.96067044,51.12494696,304.2103794,Hazardous,0.103041766
Varanasi,23-06-2013,20.89928005,82.30420836,66.47794314,50.59187731,8.709364499,31.81359319,30.08149822,65.5627069,183.8262133,Unhealthy,0.253927235
Agra,24-06-2013,79.4996131,255.9846249,24.44792582,92.14135803,8.303526845,24.43326649,34.8091326,76.13620029,205.9846249,Very Unhealthy,0.310564016
Ludhiana,25-06-2013,49.93712909,306.5820939,102.3261384,66.54221605,1.340297187,56.13995707,31.24191489,84.2951253,256.5820939,Very Unhealthy,0.162883385
